nkd2007,naziv_opcine,oib,mbs,status,sud_id_nadlezan,sud_id_sluzba,postupak,ino_podruznica,stecajna_masa,likvidacijska_masa,datum_osnivanja,datum_brisanja,sud_id_brisanja,tvrtka_kod_brisanja,poslovni_broj_brisanja,mb,glavna_djelatnost,glavna_podruznica_rbr,mbs_brisanog_subjekta,sifra_zupanije,naziv_zupanije,sifra_opcine,sifra_naselja,naziv_naselja,sifra_ulice,ulica,kucni_broj,kucni_podbroj,drzava_id,naselje_van_sifrarnika,postanski_broj,ime,name,nkd2002,county,municip,size,owner_type,owner_source,cap_source,emp_hour,month_work,revenue_2021,revenue_2022,profit_2021,profit_2022,asset_2021,asset_2022,population_total,nkd2007_name
,Bilje,02098874072,30097406,1,3,3,1,0,0,0,2008-04-08T22:00:00Z,,,,,2367378,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250014,Vukovarska ulica,105,,,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,03070505627,30274965,1,3,3,1,0,0,0,2023-04-24T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250013,Ulica Ivana Mažuranića,52,,,,,EP-Bio Q j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,06788112644,30270530,1,3,3,1,0,0,0,2023-01-15T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,67237,Vardarac,672370011,Ulica Šandora Petefija,95,,,,,ZSM - energija d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,09534916574,30286466,1,3,3,1,0,0,0,2024-02-07T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,36471,Lug,364710002,Ritska ulica,12,,,,,ERDO GRADNJA j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,09834567052,30076223,1,3,3,1,0,0,0,2003-06-04T22:00:00Z,,,,,1733826,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250004,Ulica kralja Zvonimira,10,,,,,ZADRUGA PODUZETNIČKA MREŽA,,,,,,,,,,,,,,,,,4772,
,Bilje,11189629895,30281997,1,3,3,1,0,1,0,2023-10-11T22:00:00Z,,,,,,,,30027602,14,Osječko-baranjska županija,213,2925,Bilje,29250034,Vinogradska ulica,17,,,,,Stečajna masa iza NOVA ARCA d.o.o. ˝u stečaju˝,,,,,,,,,,,,,,,,,4772,
,Bilje,12846967938,30060983,1,3,3,1,0,0,0,1998-06-29T22:00:00Z,,,,,1383531,8520,,,14,Osječko-baranjska županija,213,36471,Lug,364710010,Školska ulica,6,,,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,13544938318,30286984,1,3,3,1,0,0,0,2024-02-21T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040004,Ulica Lajoša Košuta,15,,,,,TTK PILJIĆ j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,13611646890,10104921,1,1,1,1,0,1,0,2018-01-23T23:00:00Z,,,,,,,,10046312,14,Osječko-baranjska županija,213,2925,Bilje,29250034,Vinogradska ulica,17,,55,,,Stečajna masa iza BAŠIĆ - MONTAŽA I TRGOVINA d.o.o. u stečaju,,,,,,,,,,,,,,,,,4772,
,Bilje,18928930299,30249560,1,3,3,1,0,0,0,2021-08-19T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,36471,Lug,364710003,Ulica Šandora Petefija,103,,55,,,FERRE d.o.o.,,,,,,,,,,,,,,,,,4772,
